"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"""In class A's cons.\n""","StringLiteral",13,13,"const char [20]","""In class A's cons.\n""","class : Data-Structure and its Components","","200652306466"
"class A","TypeRef",13,13,"A","class A","class : Data-Structure and its Components","","201503046622"
"class A","TypeRef",16,16,"A","class A","class : Data-Structure and its Components","","201503046622"
"r","FieldDecl",9,9,"int","r","","","202094330554"
"A","CXXConstructor",10,10,"void ()","A","","","202851839646"
"A","CXXConstructor",13,13,"void ()","A","","","200262667004"
"f","FunctionDecl",3,3,"int ()","f","","","203510489195"
"operator<<","CallExpr",13,13,"basic_ostream<char, std::char_traits<char> >","operator<<","","","200960457355"
"f","CallExpr",13,13,"int","f","","","200615572848"
"A","CallExpr",16,16,"A","A","","","203363832284"
"iostream","inclusionDirective",1,1,"","iostream","","","204109989483"
"cout","DeclRefExpr",13,13,"std::ostream","cout","","","202026580151"
"operator<<","DeclRefExpr",13,13,"basic_ostream<char, std::char_traits<char> > &(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","200932477028"
"f","DeclRefExpr",13,13,"int ()","f","","","200868320304"
"v","VarDecl",16,16,"A","v","","","202592075290"
"p","VarDecl",16,16,"A *","p","","","202567143610"
"std","NamespaceRef",13,13,"","std","","","202793448050"
"operator<<","UnexposedExpr",13,13,"basic_ostream<char, std::char_traits<char> > &(*)(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","203849655424"
"f","UnexposedExpr",13,13,"int (*)()","f","","","203961530989"
"r","MemberRefExpr",13,13,"int","r","","","200198126220"
"A","ClassDecl",6,11,"A","A","","","204243952661"
