"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"r","MemberRefExpr",26,26,"int","r","","","100554632667"
"operator<<","UnexposedExpr",15,15,"basic_ostream<char, std::char_traits<char> > &(*)(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","104269889350"
"x","UnexposedExpr",16,16,"int","x","","","101026771397"
"f","UnexposedExpr",25,25,"A *(*)(A &)","f","","","100957660181"
"operator<<","UnexposedExpr",26,26,"basic_ostream<char, std::char_traits<char> > &(*)(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","101742481271"
"operator<<","UnexposedExpr",26,26,"std::basic_ostream<char, std::char_traits<char> >::__ostream_type &(*)(int)","operator<<","","","101722112440"
"r","UnexposedExpr",26,26,"int","r","","","102730300205"
"u","UnexposedExpr",26,26,"A *","u","","","100426445533"
"operator<<","UnexposedExpr",26,26,"basic_ostream<char, std::char_traits<char> > &(*)(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","102036326940"
"class A","TypeRef",19,19,"A","class A","class : Data-Structure and its Components","","103490643417"
"class A","TypeRef",19,19,"A","class A","class : Data-Structure and its Components","","103490643417"
"class A","TypeRef",21,21,"A","class A","class : Data-Structure and its Components","","103490643417"
"class A","TypeRef",25,25,"A","class A","class : Data-Structure and its Components","","103490643417"
"""In f():\n""","StringLiteral",15,15,"const char [9]","""In f():\n""","","","102184713895"
"""Value of u->r = ""","StringLiteral",26,26,"const char [17]","""Value of u->r = ""","","","100080427770"
"""\n""","StringLiteral",26,26,"const char [2]","""\n""","","","103891028872"
"std","NamespaceRef",15,15,"","std","","","102576260337"
"std","NamespaceRef",26,26,"","std","","","102576260337"
"cout","DeclRefExpr",15,15,"std::ostream","cout","","","100297356914"
"operator<<","DeclRefExpr",15,15,"basic_ostream<char, std::char_traits<char> > &(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","100991312455"
"x","DeclRefExpr",16,16,"int","x","","","100850788696"
"f","DeclRefExpr",25,25,"A *(A &)","f","","","104292661174"
"v","DeclRefExpr",25,25,"A","v","","","101294077625"
"cout","DeclRefExpr",26,26,"std::ostream","cout","","","103629930078"
"operator<<","DeclRefExpr",26,26,"basic_ostream<char, std::char_traits<char> > &(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","103366970597"
"operator<<","DeclRefExpr",26,26,"std::basic_ostream<char, std::char_traits<char> >::__ostream_type &(int)","operator<<","","","103854688260"
"u","DeclRefExpr",26,26,"A *","u","","","103665139722"
"operator<<","DeclRefExpr",26,26,"basic_ostream<char, std::char_traits<char> > &(basic_ostream<char, std::char_traits<char> > &, const char *)","operator<<","","","101173379920"
"r","FieldDecl",8,8,"int","r","","","102114800396"
"f","FunctionDecl",13,17,"int ()","f","","","101627417839"
"f","FunctionDecl",19,19,"A *(A &)","f","","","102686153873"
"main","FunctionDecl",23,28,"int ()","main","","","100055273548"
"operator<<","CallExpr",15,15,"basic_ostream<char, std::char_traits<char> >","operator<<","","","102703663255"
"f","CallExpr",25,25,"A *","f","","","102480291206"
"operator<<","CallExpr",26,26,"basic_ostream<char, std::char_traits<char> >","operator<<","","","101390290665"
"operator<<","CallExpr",26,26,"std::basic_ostream<char, std::char_traits<char> >::__ostream_type","operator<<","","","101528700791"
"operator<<","CallExpr",26,26,"basic_ostream<char, std::char_traits<char> >","operator<<","","","104223042600"
"A","ClassDecl",5,10,"A","A","","","100079929474"
"x","VarDecl",3,3,"int","x","","","101513960150"
"v","VarDecl",21,21,"A","v","","","100766366562"
"u","VarDecl",25,25,"A *","u","","","104107026904"
"x","ParmDecl",19,19,"A &","x","","","100137924303"
"A","CXXConstructor",9,9,"void ()","A","","","101049771847"
