"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"trythis","FunctionDecl",12,12,"void *(void *)","trythis","","","100188559292"
"main","FunctionDecl",15,40,"int ()","main","","","103347705612"
"arg","ParmDecl",12,12,"void *","arg","","","101574575774"
"""\n mutex init has failed\n""","StringLiteral",23,23,"const char [25]","""\n mutex init has failed\n""","init : Properties of Datastructure / Function / Blocks","","103228534691"
"""\nThread can't be created : [%s]""","StringLiteral",32,32,"const char [32]","""\n Thread can't be created : [%s]""","","","100344219512"
"pthread_t","TypeRef",8,8,"pthread_t","pthread t","","","102151625350"
"pthread_mutex_t","TypeRef",13,13,"pthread_mutex_t","pthread mutex t","","","102465847757"
"tid","VarDecl",8,8,"pthread_t [2]","tid","","","103478728560"
"counter","VarDecl",9,9,"int","counter","counter : Operations as part of Algorithms","","101812706779"
"lock","VarDecl",13,13,"pthread_mutex_t","lock","","","103988418846"
"i","VarDecl",17,17,"int","i","","","103559319398"
"error","VarDecl",18,18,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","101966439505"
"a","VarDecl",20,20,"int [2]","a","","","100827854070"
"pthread_mutex_init","UnexposedExpr",22,22,"int (*)(pthread_mutex_t *, const pthread_mutexattr_t *) throw()","pthread mutex init","init : Properties of Datastructure / Function / Blocks","","100989653540"
"printf","UnexposedExpr",23,23,"int (*)(const char *__restrict, ...)","printf","","","103633705909"
"i","UnexposedExpr",27,27,"int","i","","","101916956272"
"a","UnexposedExpr",29,29,"int *","a","","","100150111865"
"i","UnexposedExpr",29,29,"int","i","","","102382263187"
"i","UnexposedExpr",29,29,"int","i","","","100553180717"
"pthread_create","UnexposedExpr",30,30,"int (*)(pthread_t *__restrict, const pthread_attr_t *__restrict, void *(*)(void *), void *__restrict) throw()","pthread create","create : Operations as part of Data structure","","104187617606"
"tid","UnexposedExpr",30,30,"pthread_t *","tid","","","103354180036"
"i","UnexposedExpr",30,30,"int","i","","","101542638605"
"a","UnexposedExpr",30,30,"int *","a","","","103333381643"
"i","UnexposedExpr",30,30,"int","i","","","104288612909"
"error","UnexposedExpr",31,31,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","100547469134"
"printf","UnexposedExpr",32,32,"int (*)(const char *__restrict, ...)","printf","","","102716585786"
"strerror","UnexposedExpr",32,32,"char *(*)(int) throw()","strerror","","","102388728176"
"error","UnexposedExpr",32,32,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","103768564027"
"pthread_join","UnexposedExpr",36,36,"int (*)(pthread_t, void **)","pthread join","join : Operations as part of Data structure","","102257472977"
"tid","UnexposedExpr",36,36,"pthread_t *","tid","","","103528340716"
"pthread_join","UnexposedExpr",37,37,"int (*)(pthread_t, void **)","pthread join","join : Operations as part of Data structure","","102944929210"
"tid","UnexposedExpr",37,37,"pthread_t *","tid","","","102847540145"
"pthread_mutex_destroy","UnexposedExpr",38,38,"int (*)(pthread_mutex_t *) throw()","pthread mutex destroy","destroy : Time Complexity / Space Complexity/ Memory/ Exception","","103958024160"
"pthread_mutex_init","CallExpr",22,22,"int","pthread mutex init","init : Properties of Datastructure / Function / Blocks","","100664867706"
"printf","CallExpr",23,23,"int","printf","","","100283043863"
"pthread_create","CallExpr",30,30,"int","pthread create","create : Operations as part of Data structure","","102949364067"
"printf","CallExpr",32,32,"int","printf","","","102774306983"
"strerror","CallExpr",32,32,"char *","strerror","","","102737629817"
"pthread_join","CallExpr",36,36,"int","pthread join","join : Operations as part of Data structure","","102015433026"
"pthread_join","CallExpr",37,37,"int","pthread join","join : Operations as part of Data structure","","102500269436"
"pthread_mutex_destroy","CallExpr",38,38,"int","pthread mutex destroy","destroy : Time Complexity / Space Complexity/ Memory/ Exception","","101751659901"
"pthread_mutex_init","DeclRefExpr",22,22,"int (pthread_mutex_t *, const pthread_mutexattr_t *) throw()","pthread mutex init","init : Properties of Datastructure / Function / Blocks","","103461602527"
"lock","DeclRefExpr",22,22,"pthread_mutex_t","lock","","","102602093600"
"printf","DeclRefExpr",23,23,"int (const char *__restrict, ...)","printf","","","104135824316"
"i","DeclRefExpr",27,27,"int","i","","","102566076575"
"a","DeclRefExpr",29,29,"int [2]","a","","","103126949503"
"i","DeclRefExpr",29,29,"int","i","","","104229178689"
"i","DeclRefExpr",29,29,"int","i","","","102636702413"
"error","DeclRefExpr",30,30,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","100497810300"
"pthread_create","DeclRefExpr",30,30,"int (pthread_t *__restrict, const pthread_attr_t *__restrict, void *(*)(void *), void *__restrict) throw()","pthread create","create : Operations as part of Data structure","","100701657236"
"tid","DeclRefExpr",30,30,"pthread_t [2]","tid","","","103315791877"
"i","DeclRefExpr",30,30,"int","i","","","104005791324"
"trythis","DeclRefExpr",30,30,"void *(void *)","trythis","","","103714184497"
"a","DeclRefExpr",30,30,"int [2]","a","","","102906910766"
"i","DeclRefExpr",30,30,"int","i","","","104185626310"
"error","DeclRefExpr",31,31,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","104263670892"
"printf","DeclRefExpr",32,32,"int (const char *__restrict, ...)","printf","","","103208289525"
"strerror","DeclRefExpr",32,32,"char *(int) throw()","strerror","","","102845566802"
"error","DeclRefExpr",32,32,"int","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","101136354822"
"i","DeclRefExpr",33,33,"int","i","","","101106288623"
"pthread_join","DeclRefExpr",36,36,"int (pthread_t, void **)","pthread join","join : Operations as part of Data structure","","103600812584"
"tid","DeclRefExpr",36,36,"pthread_t [2]","tid","","","101553826037"
"pthread_join","DeclRefExpr",37,37,"int (pthread_t, void **)","pthread join","join : Operations as part of Data structure","","101703627904"
"tid","DeclRefExpr",37,37,"pthread_t [2]","tid","","","101294443792"
"pthread_mutex_destroy","DeclRefExpr",38,38,"int (pthread_mutex_t *) throw()","pthread mutex destroy","destroy : Time Complexity / Space Complexity/ Memory/ Exception","","102939352404"
"lock","DeclRefExpr",38,38,"pthread_mutex_t","lock","","","102918713114"
